24,"t","Milk Production, Disposition, and Income 2018 Summary: Released May 30, 2019, by the National Agricultural Statistics Service (NASS), Agricultural Statistics Board, United States Department of Agriculture (USDA)."
24,"t","Milk and Cream Marketings and Income – States and United States: 2018"
24,"t","[May not add due to rounding]"
24,"h","","","","",""
24,"h","","","","",""
24,"h","","","","","Cash"
24,"h","","Milk","All milk","Returns","receipts"
24,"h","State","utilized","average returns","per pound","from"
24,"h","","","per cwt 1/","of milkfat","marketings"
24,"h","","","","",""
24,"u","","(million pounds)","(dollars)","(dollars)","(1,000 dollars)"
24,"d","Alabama",72.0,16.60,4.28,11952
24,"d","Alaska",2.3,22.00,5.60,506
24,"d","Arizona",4963.0,15.50,4.23,769265
24,"d","Arkansas",72.0,17.00,4.49,12240
24,"d","California",40383.0,15.78,4.05,6372437
24,"d","Colorado",4535.0,16.70,4.47,757345
24,"d","Connecticut",424.0,17.10,4.32,72504
24,"d","Delaware",90.5,16.10,4.19,14571
24,"d","Florida",2375.0,19.90,5.41,472625
24,"d","Georgia",1758.0,17.10,4.70,300618
24,"d","",,,,
24,"d","Hawaii",33.8,28.00,8.09,9464
24,"d","Idaho",15115.0,15.70,3.96,2373055
24,"d","Illinois",1866.0,16.50,4.24,307890
24,"d","Indiana",4134.0,15.70,4.15,649038
24,"d","Iowa",5251.0,16.50,4.19,866415
24,"d","Kansas",3693.0,15.30,3.96,565029
24,"d","Kentucky",1002.0,17.50,4.62,175350
24,"d","Louisiana",149.0,17.20,4.26,25628
24,"d","Maine",614.0,18.10,4.68,111134
24,"d","Maryland",917.0,16.20,4.24,148554
24,"d","",,,,
24,"d","Massachusetts",200.0,17.40,4.37,34800
24,"d","Michigan",11132.0,14.90,3.90,1658668
24,"d","Minnesota",9769.0,16.50,4.15,1611885
24,"d","Mississippi",127.0,17.10,4.23,21717
24,"d","Missouri",1173.0,16.90,4.25,198237
24,"d","Montana",270.0,16.00,4.21,43200
24,"d","Nebraska",1433.0,16.20,4.20,232146
24,"d","Nevada",728.0,16.40,4.15,119392
24,"d","New Hampshire",247.0,17.00,4.35,41990
24,"d","New Jersey",108.0,16.20,4.26,17496
24,"d","",,,,
24,"d","New Mexico",8222.0,14.70,3.97,1208634
24,"d","New York",14825.0,16.70,4.33,2475775
24,"d","North Carolina",931.0,17.30,4.59,161063
24,"d","North Dakota",330.0,16.20,4.12,53460
24,"d","Ohio",5503.0,16.40,4.22,902492
24,"d","Oklahoma",718.0,17.80,4.66,127804
24,"d","Oregon",2510.0,18.70,4.61,469370
24,"d","Pennsylvania",10595.0,16.80,4.41,1779960
24,"d","Rhode Island",11.6,17.20,4.27,1995
24,"d","South Carolina",239.0,17.40,4.52,41586
24,"d","",,,,
24,"d","South Dakota",2697.0,17.30,4.15,466581
24,"d","Tennessee",629.0,17.40,4.59,109446
24,"d","Texas",12824.0,16.90,4.11,2167256
24,"d","Utah",2308.0,16.10,4.16,371588
24,"d","Vermont",2664.0,17.10,4.38,455544
24,"d","Virginia",1625.0,17.50,4.63,284375
24,"d","Washington",6718.0,16.80,4.14,1128624
24,"d","West Virginia",109.0,16.40,4.29,17876
24,"d","Wisconsin",30320.0,16.50,4.24,5002800
24,"d","Wyoming",140.7,16.30,4.48,22934
24,"d","",,,,
24,"d","United States",216556.0,16.28,4.19,35244314
24,"c",""
24,"f","1/ Cash receipts divided by milk or milkfat in combined marketings."
